Table 1
Order Id,Return Reason,,,
CA-2020-104689,Wrong Items,,,
CA-2020-105081,Wrong Items,,,
CA-2020-105291,Wrong Items,,,
CA-2020-105585,Wrong Items,,,
CA-2020-106950,Wrong Items,,,
CA-2020-109806,Wrong Items,,,
CA-2020-109869,Wrong Items,,,
CA-2020-111682,Wrong Items,,,
CA-2020-112123,Wrong Items,,,
CA-2020-112340,Wrong Items,,,
CA-2020-113341,Wrong Items,,,
CA-2020-114307,Wrong Items,,,
CA-2020-114727,Wrong Items,,,
CA-2020-115917,Wrong Items,,,
CA-2020-116547,Wrong Items,,,
CA-2020-116736,Wrong Items,,,
CA-2020-118311,Wrong Items,,,
CA-2020-118500,Wrong Items,,,
CA-2020-118899,Wrong Items,,,
CA-2020-120873,Wrong Items,,,
CA-2020-123526,Wrong Items,,,
CA-2020-124527,Wrong Items,,,
CA-2020-126529,Wrong Items,,,
CA-2020-126732,Wrong Items,,,
CA-2020-128671,Wrong Items,,,
CA-2020-130477,Wrong Items,,,
CA-2020-130638,Wrong Items,,,
CA-2020-130680,Wrong Items,,,
CA-2020-133319,Wrong Items,,,
CA-2020-133368,Wrong Items,,,
CA-2020-133802,Wrong Items,,,
CA-2020-134775,Wrong Items,,,
CA-2020-134803,Wrong Items,,,
CA-2020-136483,Wrong Items,,,
CA-2020-136924,Wrong Items,,,
CA-2020-138282,Wrong Items,,,
CA-2020-139269,Wrong Items,,,
CA-2020-142398,Wrong Items,,,
CA-2020-145261,Wrong Items,,,
CA-2020-145492,Wrong Items,,,
CA-2020-145583,Wrong Items,,,
CA-2020-145919,Wrong Items,,,
CA-2020-145982,Wrong Items,,,
CA-2020-147375,Wrong Items,,,
CA-2020-148796,Wrong Items,,,
CA-2020-150077,Wrong Items,,,
CA-2020-151323,Wrong Items,,,
CA-2020-151372,Wrong Items,,,
CA-2020-152814,Wrong Items,,,
CA-2020-157280,Wrong Items,,,
CA-2020-159023,Wrong Items,,,
CA-2020-159212,Wrong Items,,,
CA-2020-159345,Wrong Items,,,
CA-2020-161746,Wrong Items,,,
CA-2020-162138,Wrong Items,,,
CA-2020-162159,Wrong Items,,,
CA-2020-165330,Wrong Items,,,
CA-2020-166275,Wrong Items,,,
CA-2020-167759,Wrong Items,,,
CA-2020-168921,Wrong Items,,,
CA-2021-100111,Wrong Items,,,
CA-2021-101273,Wrong Items,,,
CA-2021-101574,Wrong Items,,,
CA-2021-101700,Wrong Items,,,
CA-2021-101805,Wrong Items,,,
CA-2021-102519,Wrong Items,,,
CA-2021-103380,Wrong Items,,,
CA-2021-107825,Wrong Items,,,
CA-2021-108294,Wrong Items,,,
CA-2021-108931,Wrong Items,,,
CA-2021-109085,Wrong Items,,,
CA-2021-111556,Wrong Items,,,
CA-2021-112725,Wrong Items,,,
CA-2021-112753,Wrong Items,,,
CA-2021-112865,Wrong Items,,,
CA-2021-113670,Wrong Items,,,
CA-2021-115427,Wrong Items,,,
CA-2021-115994,Wrong Items,,,
CA-2021-117212,Wrong Items,,,
CA-2021-117513,Wrong Items,,,
CA-2021-117926,Wrong Items,,,
CA-2021-118122,Wrong Items,,,
CA-2021-118542,Wrong Items,,,
CA-2021-119284,Wrong Items,,,
CA-2021-121258,Wrong Items,,,
CA-2021-121853,Wrong Items,,,
CA-2021-122007,Wrong Items,,,
CA-2021-122504,Wrong Items,,,
CA-2021-123085,Wrong Items,,,
CA-2021-123491,Wrong Items,,,
CA-2021-124401,Wrong Items,,,
CA-2021-127306,Wrong Items,,,
CA-2021-128965,Wrong Items,,,
CA-2021-129707,Wrong Items,,,
CA-2021-130631,Wrong Items,,,
CA-2021-131492,Wrong Items,,,
CA-2021-131618,Wrong Items,,,
CA-2021-131807,Wrong Items,,,
CA-2021-131828,Wrong Items,,,
CA-2021-132346,Wrong Items,,,
CA-2018-100762,Bad Quality,,,
CA-2018-100867,Bad Quality,,,
CA-2018-102652,Bad Quality,,,
CA-2018-103373,Bad Quality,,,
CA-2018-103744,Bad Quality,,,
CA-2018-103940,Bad Quality,,,
CA-2018-104829,Bad Quality,,,
CA-2018-105270,Bad Quality,,,
CA-2018-108609,Bad Quality,,,
CA-2018-108861,Bad Quality,,,
CA-2018-109918,Bad Quality,,,
CA-2018-110786,Bad Quality,,,
CA-2018-111871,Bad Quality,,,
CA-2018-116785,Bad Quality,,,
CA-2018-123225,Bad Quality,,,
CA-2018-123253,Bad Quality,,,
CA-2018-123498,Bad Quality,,,
CA-2018-124688,Bad Quality,,,
CA-2018-126361,Bad Quality,,,
CA-2018-126403,Bad Quality,,,
CA-2018-126522,Bad Quality,,,
CA-2018-127012,Bad Quality,,,
CA-2018-127131,Bad Quality,,,
CA-2018-133690,Bad Quality,,,
CA-2018-134726,Bad Quality,,,
CA-2018-135657,Bad Quality,,,
CA-2018-135699,Bad Quality,,,
CA-2018-140816,Bad Quality,,,
CA-2018-141726,Bad Quality,,,
CA-2018-142769,Bad Quality,,,
CA-2018-143336,Bad Quality,,,
CA-2018-143840,Bad Quality,,,
CA-2018-148614,Bad Quality,,,
CA-2018-148950,Bad Quality,,,
CA-2018-151162,Bad Quality,,,
CA-2018-152345,Bad Quality,,,
CA-2018-153150,Bad Quality,,,
CA-2018-156349,Bad Quality,,,
CA-2018-157924,Others,,,
CA-2018-159338,Others,,,
CA-2018-160766,Others,,,
CA-2018-160773,Others,,,
CA-2018-164721,Others,,,
CA-2018-164861,Bad Quality,,,
CA-2018-166744,Bad Quality,,,
CA-2018-169019,Bad Quality,,,
CA-2019-101910,Bad Quality,,,
CA-2019-103716,Bad Quality,,,
CA-2019-104129,Bad Quality,,,
CA-2019-105158,Bad Quality,,,
CA-2019-107678,Bad Quality,,,
CA-2019-109736,Bad Quality,,,
CA-2019-110814,Bad Quality,,,
CA-2019-111948,Bad Quality,,,
CA-2019-112144,Bad Quality,,,
CA-2019-113628,Bad Quality,,,
CA-2019-114048,Bad Quality,,,
CA-2019-116092,Bad Quality,,,
CA-2019-119214,Bad Quality,,,
CA-2019-119907,Bad Quality,,,
CA-2019-123568,Bad Quality,,,
CA-2019-124058,Bad Quality,,,
CA-2019-130456,Bad Quality,,,
CA-2019-130785,Wrong Items,,,
CA-2019-132374,Wrong Items,,,
CA-2019-132941,Wrong Items,,,
CA-2019-134075,Wrong Items,,,
CA-2019-134201,Wrong Items,,,
CA-2019-135580,Wrong Items,,,
CA-2019-138674,Wrong Items,,,
CA-2019-139731,Wrong Items,,,
CA-2019-140984,Wrong Items,,,
CA-2019-141593,Wrong Items,,,
CA-2019-142601,Wrong Items,,,
CA-2019-143238,Wrong Items,,,
CA-2019-143490,Wrong Items,,,
CA-2019-143602,Wrong Items,,,
CA-2019-144267,Wrong Items,,,
CA-2019-146255,Wrong Items,,,
CA-2019-146262,Wrong Items,,,
CA-2019-146486,Wrong Items,,,
CA-2019-148873,Wrong Items,,,
CA-2019-149342,Wrong Items,,,
CA-2019-149636,Wrong Items,,,
CA-2019-149650,Wrong Items,,,
CA-2019-150770,Wrong Items,,,
CA-2019-150875,Wrong Items,,,
CA-2019-151547,Wrong Items,,,
CA-2019-153220,Wrong Items,,,
CA-2019-154970,Wrong Items,,,
CA-2019-155761,Wrong Items,,,
CA-2019-156440,Wrong Items,,,
CA-2019-157770,Wrong Items,,,
CA-2019-157812,Wrong Items,,,
CA-2019-161627,Wrong Items,,,
CA-2019-162166,Wrong Items,,,
CA-2019-164882,Wrong Items,,,
CA-2019-168480,Wrong Items,,,
CA-2019-168564,Wrong Items,,,
CA-2019-169397,Wrong Items,,,
CA-2021-134194,Wrong Items,,,
CA-2021-135692,Wrong Items,,,
CA-2021-136308,Wrong Items,,,
CA-2021-136539,Wrong Items,,,
CA-2021-136651,Wrong Items,,,
CA-2021-137085,Wrong Items,,,
CA-2021-137099,Wrong Items,,,
CA-2021-137414,Wrong Items,,,
CA-2021-137428,Wrong Items,,,
CA-2021-138163,Wrong Items,,,
CA-2021-140053,Wrong Items,,,
CA-2021-140151,Wrong Items,,,
